time,data_type,value
2024-08-30T19:29:00+00:00,steps,14
2024-08-30T19:43:00+00:00,steps,14
2024-08-30T19:52:00+00:00,steps,10
2024-08-30T19:53:00+00:00,steps,6
2024-08-30T19:56:00+00:00,steps,9
2024-08-30T19:57:00+00:00,steps,15
2024-08-30T20:09:00+00:00,steps,18
2024-08-30T20:12:00+00:00,steps,5
2024-08-30T20:13:00+00:00,steps,8
2024-08-30T20:14:00+00:00,steps,63
2024-08-30T20:15:00+00:00,steps,33
2024-08-30T20:16:00+00:00,steps,28
2024-08-30T20:17:00+00:00,steps,37
2024-08-30T20:20:00+00:00,steps,12
2024-08-30T20:21:00+00:00,steps,17
2024-08-30T20:27:00+00:00,steps,6
2024-08-30T20:28:00+00:00,steps,10
2024-08-30T20:31:00+00:00,steps,75
2024-08-30T20:32:00+00:00,steps,84
2024-08-30T20:33:00+00:00,steps,57
2024-08-30T20:34:00+00:00,steps,88
2024-08-30T20:35:00+00:00,steps,28
2024-08-30T20:36:00+00:00,steps,18
2024-08-30T20:37:00+00:00,steps,41
2024-08-30T20:38:00+00:00,steps,59
2024-08-30T20:39:00+00:00,steps,18
2024-08-30T20:40:00+00:00,steps,20
2024-08-30T20:46:00+00:00,steps,8
2024-08-30T21:02:00+00:00,steps,13
2024-08-30T21:03:00+00:00,steps,9
2024-08-30T21:11:00+00:00,steps,11
2024-08-30T21:17:00+00:00,steps,7
2024-08-30T21:18:00+00:00,steps,10
2024-08-30T21:19:00+00:00,steps,10
2024-08-30T21:34:00+00:00,steps,8
2024-08-30T21:36:00+00:00,steps,14
2024-08-30T21:37:00+00:00,steps,37
2024-08-30T21:38:00+00:00,steps,83
2024-08-30T21:39:00+00:00,steps,37
2024-08-30T21:40:00+00:00,steps,7
2024-08-30T21:46:00+00:00,steps,10
2024-08-30T23:02:00+00:00,steps,36
2024-08-30T23:06:00+00:00,steps,8
2024-08-30T23:08:00+00:00,steps,9
2024-08-31T00:09:00+00:00,steps,9
2024-08-31T00:10:00+00:00,steps,9
2024-08-31T06:30:00+00:00,steps,23
2024-08-31T06:39:00+00:00,steps,27
2024-08-31T07:16:00+00:00,steps,18
2024-08-31T07:51:00+00:00,steps,18
2024-08-31T07:52:00+00:00,steps,6
2024-08-31T09:07:00+00:00,steps,7
2024-08-31T09:15:00+00:00,steps,55
2024-08-31T09:16:00+00:00,steps,90
2024-08-31T09:17:00+00:00,steps,48
2024-08-31T09:18:00+00:00,steps,49
2024-08-31T09:19:00+00:00,steps,77
2024-08-31T09:20:00+00:00,steps,30
2024-08-31T09:49:00+00:00,steps,12
2024-08-31T09:56:00+00:00,steps,8
2024-08-31T09:57:00+00:00,steps,1
2024-08-31T10:50:00+00:00,steps,99
2024-08-31T10:51:00+00:00,steps,150
2024-08-31T10:52:00+00:00,steps,37
2024-08-31T10:53:00+00:00,steps,40
2024-08-31T10:54:00+00:00,steps,117
2024-08-31T11:07:00+00:00,steps,79
2024-08-31T11:08:00+00:00,steps,119
2024-08-31T11:09:00+00:00,steps,107
2024-08-31T11:10:00+00:00,steps,107
2024-08-31T11:11:00+00:00,steps,89
2024-08-31T11:19:00+00:00,steps,8
2024-08-31T11:25:00+00:00,steps,13
2024-08-31T11:46:00+00:00,steps,18
2024-08-31T11:47:00+00:00,steps,66
2024-08-31T11:48:00+00:00,steps,12
2024-08-31T11:49:00+00:00,steps,9
2024-08-31T12:03:00+00:00,steps,7
2024-08-31T12:09:00+00:00,steps,20
2024-08-31T12:12:00+00:00,steps,16
2024-08-31T12:14:00+00:00,steps,33
2024-08-31T12:15:00+00:00,steps,14
2024-08-31T12:16:00+00:00,steps,9
2024-08-31T12:18:00+00:00,steps,57
2024-08-31T12:19:00+00:00,steps,78
2024-08-31T12:20:00+00:00,steps,46
2024-08-31T12:21:00+00:00,steps,11
2024-08-31T12:29:00+00:00,steps,28
2024-08-31T12:30:00+00:00,steps,24
2024-08-31T12:32:00+00:00,steps,27
2024-08-31T12:36:00+00:00,steps,9
2024-08-31T12:39:00+00:00,steps,8
2024-08-31T12:40:00+00:00,steps,15
2024-08-31T12:42:00+00:00,steps,4
2024-08-31T12:43:00+00:00,steps,19
2024-08-31T12:44:00+00:00,steps,15
2024-08-31T12:45:00+00:00,steps,12
2024-08-31T13:06:00+00:00,steps,7
2024-08-31T13:25:00+00:00,steps,32
2024-08-31T13:31:00+00:00,steps,12
2024-08-31T13:32:00+00:00,steps,5
2024-08-31T13:42:00+00:00,steps,26
2024-08-31T13:43:00+00:00,steps,19
2024-08-31T14:04:00+00:00,steps,19
2024-08-31T14:07:00+00:00,steps,30
2024-08-31T14:08:00+00:00,steps,10
2024-08-31T14:18:00+00:00,steps,8
2024-08-31T14:50:00+00:00,steps,75
2024-08-31T14:51:00+00:00,steps,133
2024-08-31T14:52:00+00:00,steps,37
2024-08-31T14:56:00+00:00,steps,8
2024-08-31T15:14:00+00:00,steps,22
2024-08-31T15:57:00+00:00,steps,22
2024-08-31T15:58:00+00:00,steps,27
2024-08-31T16:00:00+00:00,steps,16
2024-08-31T16:01:00+00:00,steps,9
2024-08-31T16:10:00+00:00,steps,17
2024-08-31T16:11:00+00:00,steps,7
2024-08-31T16:12:00+00:00,steps,14
2024-08-31T16:57:00+00:00,steps,10
2024-08-31T16:59:00+00:00,steps,38
2024-08-31T17:00:00+00:00,steps,43
2024-08-31T17:01:00+00:00,steps,16
2024-08-31T17:02:00+00:00,steps,40
2024-08-31T17:03:00+00:00,steps,4
2024-08-31T17:06:00+00:00,steps,38
2024-08-31T17:07:00+00:00,steps,82
2024-08-31T17:08:00+00:00,steps,45
2024-08-31T17:09:00+00:00,steps,42
2024-08-31T17:10:00+00:00,steps,8
2024-08-31T17:11:00+00:00,steps,76
2024-08-31T17:12:00+00:00,steps,65
2024-08-31T17:13:00+00:00,steps,39
2024-08-31T17:14:00+00:00,steps,94
2024-08-31T17:15:00+00:00,steps,29
2024-08-31T17:19:00+00:00,steps,10
2024-08-31T17:23:00+00:00,steps,21
2024-08-31T17:24:00+00:00,steps,16
2024-08-31T17:43:00+00:00,steps,30
2024-08-31T17:44:00+00:00,steps,72
2024-08-31T17:45:00+00:00,steps,34
2024-08-31T17:46:00+00:00,steps,49
2024-08-31T17:47:00+00:00,steps,4
2024-08-31T17:48:00+00:00,steps,2
2024-08-31T17:49:00+00:00,steps,7
2024-08-31T17:50:00+00:00,steps,4
2024-08-31T17:54:00+00:00,steps,50
2024-08-31T17:55:00+00:00,steps,34
2024-08-31T17:56:00+00:00,steps,21
2024-08-31T18:16:00+00:00,steps,18
2024-08-31T18:17:00+00:00,steps,79
2024-08-31T18:18:00+00:00,steps,55
2024-08-31T18:19:00+00:00,steps,35
2024-08-31T18:21:00+00:00,steps,39
2024-08-31T18:22:00+00:00,steps,82
2024-08-31T18:23:00+00:00,steps,62
2024-08-31T18:24:00+00:00,steps,75
2024-08-31T18:25:00+00:00,steps,44
2024-08-31T18:26:00+00:00,steps,23
2024-08-31T18:27:00+00:00,steps,8
2024-08-31T18:32:00+00:00,steps,10
2024-08-31T18:38:00+00:00,steps,17
2024-08-31T18:39:00+00:00,steps,71
2024-08-31T18:40:00+00:00,steps,47
2024-08-31T18:41:00+00:00,steps,20
2024-08-31T18:43:00+00:00,steps,7
2024-08-31T18:44:00+00:00,steps,37
2024-08-31T18:45:00+00:00,steps,16
2024-08-31T18:46:00+00:00,steps,25
2024-08-31T18:47:00+00:00,steps,21
2024-08-31T18:59:00+00:00,steps,20
2024-08-31T19:04:00+00:00,steps,7
2024-08-31T19:08:00+00:00,steps,4
2024-08-31T19:10:00+00:00,steps,8
2024-08-31T19:22:00+00:00,steps,4
2024-08-31T19:29:00+00:00,steps,12
2024-08-31T19:30:00+00:00,steps,9
2024-08-31T20:23:00+00:00,steps,12
2024-08-31T20:24:00+00:00,steps,18
2024-08-31T20:27:00+00:00,steps,82
2024-08-31T20:28:00+00:00,steps,70
2024-08-31T20:29:00+00:00,steps,2
2024-08-31T20:35:00+00:00,steps,8
2024-08-31T20:38:00+00:00,steps,13
2024-08-31T20:44:00+00:00,steps,8
2024-08-31T20:45:00+00:00,steps,9
2024-08-31T20:50:00+00:00,steps,5
2024-08-31T21:13:00+00:00,steps,6
2024-08-31T21:16:00+00:00,steps,11
2024-08-31T21:19:00+00:00,steps,11
2024-08-31T21:22:00+00:00,steps,9
2024-08-31T21:23:00+00:00,steps,4
2024-08-31T21:24:00+00:00,steps,4
2024-08-31T21:25:00+00:00,steps,13
2024-08-31T21:26:00+00:00,steps,12
2024-08-31T21:27:00+00:00,steps,10
2024-08-31T21:28:00+00:00,steps,26
2024-08-31T21:29:00+00:00,steps,25
2024-08-31T21:30:00+00:00,steps,8
2024-08-31T21:31:00+00:00,steps,7
2024-08-31T21:32:00+00:00,steps,15
2024-08-31T21:33:00+00:00,steps,11
2024-08-31T21:35:00+00:00,steps,4
2024-08-31T21:48:00+00:00,steps,7
2024-08-31T21:49:00+00:00,steps,21
2024-08-31T21:50:00+00:00,steps,5
2024-08-31T22:08:00+00:00,steps,6
2024-08-31T22:09:00+00:00,steps,8
