time,data_type,value
2024-10-19T00:00:00+00:00,hrv,"RMSSD: 24.167, coverage: 0.991, hf: 83.511 lf: 558.482"
2024-10-19T00:05:00+00:00,hrv,"RMSSD: 22.881, coverage: 0.996, hf: 49.389 lf: 176.801"
2024-10-19T00:10:00+00:00,hrv,"RMSSD: 23.272, coverage: 1.003, hf: 75.913 lf: 195.292"
2024-10-19T00:15:00+00:00,hrv,"RMSSD: 21.709, coverage: 0.94, hf: 73.808 lf: 345.37"
2024-10-19T00:20:00+00:00,hrv,"RMSSD: 23.416, coverage: 0.992, hf: 65.521 lf: 256.843"
2024-10-19T00:25:00+00:00,hrv,"RMSSD: 24.431, coverage: 0.986, hf: 73.453 lf: 351.507"
2024-10-19T00:30:00+00:00,hrv,"RMSSD: 22.505, coverage: 1.003, hf: 65.092 lf: 164.512"
2024-10-19T00:35:00+00:00,hrv,"RMSSD: 22.939, coverage: 1.004, hf: 77.393 lf: 326.463"
2024-10-19T00:40:00+00:00,hrv,"RMSSD: 22.76, coverage: 1.004, hf: 109.36 lf: 413.783"
2024-10-19T00:45:00+00:00,hrv,"RMSSD: 25.341, coverage: 0.888, hf: 84.175 lf: 503.265"
2024-10-19T00:50:00+00:00,hrv,"RMSSD: 27.669, coverage: 0.981, hf: 97.957 lf: 198.416"
2024-10-19T00:55:00+00:00,hrv,"RMSSD: 19.236, coverage: 0.974, hf: 40.996 lf: 78.77"
2024-10-19T01:00:00+00:00,hrv,"RMSSD: 23.199, coverage: 0.904, hf: 52.322 lf: 62.257"
2024-10-19T01:05:00+00:00,hrv,"RMSSD: 32.544, coverage: 0.983, hf: 144.92 lf: 84.706"
2024-10-19T01:10:00+00:00,hrv,"RMSSD: 29.215, coverage: 0.96, hf: 132.332 lf: 176.672"
2024-10-19T01:15:00+00:00,hrv,"RMSSD: 16.822, coverage: 0.948, hf: 39.659 lf: 374.244"
2024-10-19T01:20:00+00:00,hrv,"RMSSD: 42.587, coverage: 0.847, hf: 1162.011 lf: 1730.589"
2024-10-19T01:30:00+00:00,hrv,"RMSSD: 24.275, coverage: 0.945, hf: 110.51 lf: 139.061"
2024-10-19T01:35:00+00:00,hrv,"RMSSD: 33.197, coverage: 0.992, hf: 146.272 lf: 445.51"
2024-10-19T01:40:00+00:00,hrv,"RMSSD: 32.148, coverage: 0.964, hf: 188.442 lf: 556.266"
2024-10-19T01:45:00+00:00,hrv,"RMSSD: 34.892, coverage: 0.998, hf: 184.982 lf: 191.592"
2024-10-19T01:50:00+00:00,hrv,"RMSSD: 33.561, coverage: 0.933, hf: 150.859 lf: 473.994"
2024-10-19T01:55:00+00:00,hrv,"RMSSD: 38.186, coverage: 1.002, hf: 231.01 lf: 632.084"
2024-10-19T02:00:00+00:00,hrv,"RMSSD: 31.639, coverage: 0.949, hf: 126.744 lf: 1810.081"
2024-10-19T02:05:00+00:00,hrv,"RMSSD: 31.862, coverage: 0.93, hf: 153.691 lf: 551.443"
2024-10-19T02:10:00+00:00,hrv,"RMSSD: 20.55, coverage: 0.925, hf: 38.611 lf: 149.909"
2024-10-19T02:15:00+00:00,hrv,"RMSSD: 23.024, coverage: 0.856, hf: 82.385 lf: 702.288"
2024-10-19T02:20:00+00:00,hrv,"RMSSD: 29.746, coverage: 0.894, hf: 71.912 lf: 304.839"
2024-10-19T02:25:00+00:00,hrv,"RMSSD: 34.018, coverage: 0.998, hf: 116.755 lf: 378.053"
2024-10-19T02:30:00+00:00,hrv,"RMSSD: 34.177, coverage: 0.958, hf: 105.191 lf: 304.816"
2024-10-19T02:35:00+00:00,hrv,"RMSSD: 37.363, coverage: 0.951, hf: 214.902 lf: 288.364"
2024-10-19T02:40:00+00:00,hrv,"RMSSD: 39.81, coverage: 0.989, hf: 169.515 lf: 194.295"
2024-10-19T02:45:00+00:00,hrv,"RMSSD: 26.195, coverage: 1.005, hf: 103.641 lf: 180.448"
2024-10-19T02:50:00+00:00,hrv,"RMSSD: 29.358, coverage: 1.005, hf: 127.253 lf: 372.827"
2024-10-19T02:55:00+00:00,hrv,"RMSSD: 29.836, coverage: 0.968, hf: 120.793 lf: 408.051"
2024-10-19T03:00:00+00:00,hrv,"RMSSD: 31.72, coverage: 0.888, hf: 167.444 lf: 483.3"
2024-10-19T03:05:00+00:00,hrv,"RMSSD: 39.174, coverage: 0.963, hf: 197.033 lf: 468.579"
2024-10-19T03:10:00+00:00,hrv,"RMSSD: 42.327, coverage: 0.96, hf: 259.714 lf: 443.549"
2024-10-19T03:15:00+00:00,hrv,"RMSSD: 39.969, coverage: 0.984, hf: 285.704 lf: 169.861"
2024-10-19T03:20:00+00:00,hrv,"RMSSD: 40.298, coverage: 1.004, hf: 171.819 lf: 258.062"
2024-10-19T03:25:00+00:00,hrv,"RMSSD: 44.359, coverage: 0.996, hf: 338.698 lf: 203.394"
2024-10-19T03:30:00+00:00,hrv,"RMSSD: 36.699, coverage: 0.942, hf: 216.31 lf: 330.279"
2024-10-19T03:35:00+00:00,hrv,"RMSSD: 40.54, coverage: 1.004, hf: 219.537 lf: 288.419"
2024-10-19T03:40:00+00:00,hrv,"RMSSD: 33.203, coverage: 0.99, hf: 193.343 lf: 950.548"
2024-10-19T03:45:00+00:00,hrv,"RMSSD: 34.722, coverage: 0.95, hf: 175.972 lf: 469.711"
2024-10-19T03:50:00+00:00,hrv,"RMSSD: 33.743, coverage: 0.962, hf: 196.913 lf: 458.829"
2024-10-19T03:55:00+00:00,hrv,"RMSSD: 31.028, coverage: 0.983, hf: 151.283 lf: 215.239"
2024-10-19T04:00:00+00:00,hrv,"RMSSD: 38.294, coverage: 0.973, hf: 213.874 lf: 127.822"
2024-10-19T04:05:00+00:00,hrv,"RMSSD: 41.011, coverage: 0.989, hf: 1363.376 lf: 1622.87"
2024-10-19T04:10:00+00:00,hrv,"RMSSD: 35.7, coverage: 0.961, hf: 186.712 lf: 340.672"
2024-10-19T04:15:00+00:00,hrv,"RMSSD: 36.302, coverage: 0.979, hf: 162.58 lf: 841.387"
2024-10-19T04:20:00+00:00,hrv,"RMSSD: 33.14, coverage: 0.927, hf: 129.221 lf: 739.156"
2024-10-19T04:25:00+00:00,hrv,"RMSSD: 21.836, coverage: 0.931, hf: 56.913 lf: 809.801"
2024-10-19T04:30:00+00:00,hrv,"RMSSD: 22.461, coverage: 0.932, hf: 65.107 lf: 2009.15"
2024-10-19T04:35:00+00:00,hrv,"RMSSD: 23.843, coverage: 0.997, hf: 73.792 lf: 229.672"
2024-10-19T04:40:00+00:00,hrv,"RMSSD: 21.971, coverage: 0.98, hf: 65.89 lf: 298.554"
2024-10-19T04:45:00+00:00,hrv,"RMSSD: 33.839, coverage: 0.964, hf: 129.244 lf: 251.314"
2024-10-19T04:50:00+00:00,hrv,"RMSSD: 31.674, coverage: 0.991, hf: 137.312 lf: 259.966"
2024-10-19T04:55:00+00:00,hrv,"RMSSD: 30.358, coverage: 0.945, hf: 91.03 lf: 208.562"
2024-10-19T05:00:00+00:00,hrv,"RMSSD: 40.304, coverage: 0.856, hf: 382.618 lf: 926.643"
2024-10-19T05:05:00+00:00,hrv,"RMSSD: 43.24, coverage: 0.918, hf: 285.328 lf: 336.36"
2024-10-19T05:10:00+00:00,hrv,"RMSSD: 42.102, coverage: 0.979, hf: 270.111 lf: 145.923"
2024-10-19T05:15:00+00:00,hrv,"RMSSD: 38.188, coverage: 0.934, hf: 213.965 lf: 282.303"
2024-10-19T05:20:00+00:00,hrv,"RMSSD: 36.405, coverage: 0.977, hf: 211.382 lf: 179.511"
2024-10-19T05:25:00+00:00,hrv,"RMSSD: 33.246, coverage: 0.949, hf: 164.144 lf: 155.423"
2024-10-19T05:30:00+00:00,hrv,"RMSSD: 29.028, coverage: 0.993, hf: 83.518 lf: 285.647"
2024-10-19T05:35:00+00:00,hrv,"RMSSD: 26.754, coverage: 0.973, hf: 84.363 lf: 787.986"
2024-10-19T05:40:00+00:00,hrv,"RMSSD: 36.453, coverage: 1.005, hf: 181.838 lf: 356.68"
2024-10-19T05:45:00+00:00,hrv,"RMSSD: 37.117, coverage: 0.898, hf: 203.309 lf: 437.038"
2024-10-19T05:50:00+00:00,hrv,"RMSSD: 38.776, coverage: 0.972, hf: 175.713 lf: 124.138"
2024-10-19T05:55:00+00:00,hrv,"RMSSD: 39.232, coverage: 0.951, hf: 181.823 lf: 457.205"
2024-10-19T06:00:00+00:00,hrv,"RMSSD: 39.458, coverage: 0.983, hf: 159.732 lf: 430.884"
2024-10-19T06:05:00+00:00,hrv,"RMSSD: 44.958, coverage: 0.973, hf: 268.985 lf: 234.816"
2024-10-19T06:10:00+00:00,hrv,"RMSSD: 42.249, coverage: 0.879, hf: 155.999 lf: 205.085"
2024-10-19T06:15:00+00:00,hrv,"RMSSD: 55.016, coverage: 0.91, hf: 331.237 lf: 316.922"
2024-10-19T06:20:00+00:00,hrv,"RMSSD: 42.369, coverage: 0.995, hf: 218.022 lf: 143.294"
2024-10-19T06:25:00+00:00,hrv,"RMSSD: 46.934, coverage: 0.839, hf: 228.703 lf: 320.404"
2024-10-19T23:30:00+00:00,hrv,"RMSSD: 37.833, coverage: 0.964, hf: 142.274 lf: 431.064"
2024-10-19T23:35:00+00:00,hrv,"RMSSD: 39.987, coverage: 0.844, hf: 145.576 lf: 280.986"
2024-10-19T23:40:00+00:00,hrv,"RMSSD: 50.14, coverage: 0.811, hf: 255.307 lf: 410.697"
2024-10-19T23:45:00+00:00,hrv,"RMSSD: 28.487, coverage: 0.932, hf: 115.759 lf: 142.28"
2024-10-19T23:50:00+00:00,hrv,"RMSSD: 28.113, coverage: 1.003, hf: 124.05 lf: 302.746"
2024-10-19T23:55:00+00:00,hrv,"RMSSD: 27.475, coverage: 0.988, hf: 125.754 lf: 180.277"
2024-10-20T00:00:00+00:00,hrv,"RMSSD: 28.202, coverage: 0.956, hf: 143.633 lf: 123.831"
2024-10-20T00:05:00+00:00,hrv,"RMSSD: 24.752, coverage: 1.006, hf: 123.343 lf: 142.84"
2024-10-20T00:10:00+00:00,hrv,"RMSSD: 27.412, coverage: 0.993, hf: 163.256 lf: 114.312"
2024-10-20T00:15:00+00:00,hrv,"RMSSD: 21.794, coverage: 0.996, hf: 88.762 lf: 243.371"
2024-10-20T00:20:00+00:00,hrv,"RMSSD: 22.109, coverage: 0.924, hf: 56.829 lf: 779.735"
2024-10-20T00:25:00+00:00,hrv,"RMSSD: 18.99, coverage: 1.004, hf: 40.335 lf: 613.434"
2024-10-20T00:30:00+00:00,hrv,"RMSSD: 22.232, coverage: 0.967, hf: 44.932 lf: 1366.952"
2024-10-20T00:35:00+00:00,hrv,"RMSSD: 28.277, coverage: 1.002, hf: 88.568 lf: 562.783"
2024-10-20T00:40:00+00:00,hrv,"RMSSD: 25.214, coverage: 0.886, hf: 81.46 lf: 1069.968"
2024-10-20T00:45:00+00:00,hrv,"RMSSD: 35.377, coverage: 0.91, hf: 142.815 lf: 527.104"
2024-10-20T00:50:00+00:00,hrv,"RMSSD: 31.822, coverage: 0.966, hf: 158.775 lf: 821.803"
2024-10-20T00:55:00+00:00,hrv,"RMSSD: 34.106, coverage: 0.989, hf: 165.462 lf: 859.557"
2024-10-20T01:00:00+00:00,hrv,"RMSSD: 32.904, coverage: 0.763, hf: 167.513 lf: 831.697"
2024-10-20T01:05:00+00:00,hrv,"RMSSD: 18.891, coverage: 0.862, hf: 54.181 lf: 295.57"
2024-10-20T01:10:00+00:00,hrv,"RMSSD: 20.293, coverage: 1.004, hf: 62.665 lf: 259.404"
2024-10-20T01:15:00+00:00,hrv,"RMSSD: 22.434, coverage: 1.0, hf: 89.279 lf: 370.351"
2024-10-20T01:20:00+00:00,hrv,"RMSSD: 20.291, coverage: 1.006, hf: 63.112 lf: 304.53"
2024-10-20T01:25:00+00:00,hrv,"RMSSD: 19.423, coverage: 0.937, hf: 50.063 lf: 384.297"
2024-10-20T01:30:00+00:00,hrv,"RMSSD: 21.161, coverage: 0.953, hf: 62.838 lf: 166.091"
2024-10-20T01:35:00+00:00,hrv,"RMSSD: 20.688, coverage: 0.883, hf: 57.215 lf: 277.831"
2024-10-20T01:40:00+00:00,hrv,"RMSSD: 23.546, coverage: 0.912, hf: 73.869 lf: 235.288"
2024-10-20T01:45:00+00:00,hrv,"RMSSD: 18.08, coverage: 0.938, hf: 61.676 lf: 437.622"
2024-10-20T01:50:00+00:00,hrv,"RMSSD: 20.827, coverage: 1.003, hf: 52.918 lf: 303.757"
2024-10-20T01:55:00+00:00,hrv,"RMSSD: 20.605, coverage: 1.005, hf: 36.74 lf: 371.466"
2024-10-20T02:00:00+00:00,hrv,"RMSSD: 19.186, coverage: 1.003, hf: 53.444 lf: 281.61"
2024-10-20T02:05:00+00:00,hrv,"RMSSD: 19.466, coverage: 1.003, hf: 45.421 lf: 608.617"
2024-10-20T02:10:00+00:00,hrv,"RMSSD: 19.375, coverage: 1.003, hf: 57.307 lf: 610.555"
2024-10-20T02:15:00+00:00,hrv,"RMSSD: 20.84, coverage: 0.938, hf: 52.225 lf: 254.204"
2024-10-20T02:20:00+00:00,hrv,"RMSSD: 28.39, coverage: 0.98, hf: 77.962 lf: 535.582"
2024-10-20T02:25:00+00:00,hrv,"RMSSD: 28.709, coverage: 0.994, hf: 90.458 lf: 190.391"
2024-10-20T02:30:00+00:00,hrv,"RMSSD: 32.374, coverage: 0.953, hf: 87.42 lf: 309.304"
2024-10-20T02:35:00+00:00,hrv,"RMSSD: 32.908, coverage: 0.964, hf: 190.359 lf: 545.587"
2024-10-20T02:40:00+00:00,hrv,"RMSSD: 28.104, coverage: 0.983, hf: 83.956 lf: 226.221"
2024-10-20T02:45:00+00:00,hrv,"RMSSD: 27.487, coverage: 1.004, hf: 103.697 lf: 187.92"
2024-10-20T02:50:00+00:00,hrv,"RMSSD: 31.004, coverage: 0.943, hf: 147.188 lf: 346.109"
2024-10-20T02:55:00+00:00,hrv,"RMSSD: 36.446, coverage: 0.907, hf: 114.111 lf: 206.588"
2024-10-20T03:00:00+00:00,hrv,"RMSSD: 39.555, coverage: 0.96, hf: 193.666 lf: 79.872"
2024-10-20T03:05:00+00:00,hrv,"RMSSD: 35.956, coverage: 0.931, hf: 159.104 lf: 88.249"
2024-10-20T03:10:00+00:00,hrv,"RMSSD: 40.582, coverage: 0.944, hf: 176.366 lf: 185.996"
2024-10-20T03:15:00+00:00,hrv,"RMSSD: 40.285, coverage: 0.913, hf: 189.711 lf: 211.378"
2024-10-20T03:20:00+00:00,hrv,"RMSSD: 32.712, coverage: 0.934, hf: 130.971 lf: 125.943"
2024-10-20T03:25:00+00:00,hrv,"RMSSD: 34.084, coverage: 0.924, hf: 144.87 lf: 251.876"
2024-10-20T03:30:00+00:00,hrv,"RMSSD: 27.473, coverage: 0.95, hf: 124.493 lf: 126.327"
2024-10-20T03:35:00+00:00,hrv,"RMSSD: 29.127, coverage: 0.909, hf: 116.234 lf: 284.219"
2024-10-20T03:40:00+00:00,hrv,"RMSSD: 31.873, coverage: 1.006, hf: 110.384 lf: 143.592"
2024-10-20T03:45:00+00:00,hrv,"RMSSD: 31.99, coverage: 1.003, hf: 140.816 lf: 122.714"
2024-10-20T03:50:00+00:00,hrv,"RMSSD: 28.063, coverage: 0.925, hf: 130.132 lf: 454.93"
2024-10-20T03:55:00+00:00,hrv,"RMSSD: 26.269, coverage: 0.982, hf: 90.401 lf: 562.008"
